amount,hour,day_of_week,frequency
599.3428306022465,15,4,1
472.3471397657631,10,2,1
815.8425631014783,13,4,2
653.4869458305818,13,1,2
792.4756240692035,16,0,1
807.7429935229195,17,3,2
793.1297537843109,10,3,1
454.8447399026929,16,2,1
379.94922997881764,12,1,2
689.4879642093277,14,3,1
422.7054098870889,9,3,2
268.2459516149835,13,1,2
647.6933159990821,15,3,1
534.2736562379941,12,4,2
592.1632600297276,16,4,1
517.1846943261629,16,0,2
627.2610216690341,10,0,1
318.655866284014,14,1,1
466.35898238018297,8,4,1
732.9537291009048,13,2,1
572.3272050095268,8,4,2
370.97604907897517,14,2,1
469.89322834804346,10,0,2
306.888465621005,11,4,1
216.28070739688837,14,2,1
538.0673969930335,9,1,1
478.9485731997641,11,2,2
308.9307110564591,16,0,1
754.7467240279112,16,2,1
441.609465834876,16,4,1
590.5872653067019,13,0,2
466.78781832978694,8,1,2
717.3454046078548,12,0,2
700.9973761405264,8,1,2
483.98253292950216,8,2,2
451.72397367115747,17,3,1
658.2063894086093,15,4,2
318.12250904105224,13,2,1
401.31350355933466,13,4,1
684.6325216683906,11,2,2
629.8173465258212,11,0,1
255.42529266493864,14,1,2
343.3493415327526,14,1,1
435.58769675886487,17,0,2
435.10180843422137,12,4,2
458.826656580899,16,0,1
521.7423599254771,13,0,2
521.1527294055521,8,3,2
7743.6689468329305,16,2,1
733.7262486901068,13,2,2
233.98518689704304,15,2,1
494.9424748857744,10,4,1
741.8763941373268,8,3,1
607.5920007383992,12,3,1
795.9697550397105,8,3,2
579.3548562542258,12,2,10
923.7772424459984,8,3,1
809.3073510943018,14,0,2
231.71930041076712,13,1,1
175.66107581130336,15,1,2
238.86048919178194,17,1,2
349.8476313864654,8,0,1
139.62240619868794,17,2,2
593.5434154996234,17,0,2
766.1762655944171,10,3,2
697.6405221008224,14,2,1
417.4476773619787,17,2,2
619.1287303608642,15,4,2
353.9266736565727,11,2,1
543.291717916395,9,3,2
367.6427070463224,17,1,1
670.4866669592448,14,0,2
433.1505817699265,9,0,2
436.43061869788335,8,4,1
831.0923250757842,10,3,2
407.41491558727034,12,0,1
588.7638856292457,17,1,2
654.9268106858674,11,0,2
826.4822607863271,12,3,2
213.97172440787347,17,1,1
580.995101754105,11,1,1
681.9476349919634,11,3,2
545.3968602438699,12,3,1
445.8075475664523,15,1,1
402.7134467895279,15,4,2
541.519652257144,9,2,1
291.4077212794298,15,3,1
765.2943336638095,16,3,2
874.0847795631034,10,3,2
837.603406473783,15,4,2
665.0832697976059,16,0,1
662.7019272001277,16,4,1
417.7418818680372,11,2,2
696.804708912618,12,4,1
211.86945223863665,12,0,1
553.8635308505077,17,1,1
862.7333151757815,16,1,2
580.9165790235049,13,4,2
611.8218405229055,12,4,1
674.5083182860959,15,4,1
557.9765623074252,11,3,2
462.5550087302372,10,4,2
671.5319246404039,2,2,1
468.01229400731455,11,3,2
754.227645196183,16,3,1
654.1726202928079,8,4,2
509.121567985119,12,4,1
577.8359152289079,11,2,1
955.1522595134406,8,4,2
581.2453370099856,14,0,1
937.9605866435345,15,1,2
338.3403429289697,15,1,2
117.45869658715617,11,4,2
572.4952917610605,10,4,2
648.3926033058931,9,1,2
795.3317250859259,12,0,2
157.3730941818245,13,2,1
770.7744748330826,8,1,1
478.27426718222887,13,3,1
488.90300834046525,12,2,1
684.830476617107,10,0,1
662.5712928476198,8,2,1
642.322975617778,9,3,1
275.07158163242616,17,1,2
396.41754883887313,8,3,1
678.565072859771,16,0,2
779.3587157540485,9,2,1
422.01792179804437,9,1,2
326.2836125904601,9,3,1
523.2821960241514,15,3,2
159.32351212896907,15,4,2
488.89046022067623,9,4,2
475.417738689709,16,2,2
484.93926904897535,11,3,2
508.74053361685475,9,4,2
714.7364024197504,12,4,2
478.5939280090884,17,1,1
292.9515355161252,16,1,1
